"resource","consumer"
"Species 403","Species 178"
"Species 404","Species 178"
"Species 407","Species 178"
"Species 408","Species 178"
"Species 409","Species 178"
"Species 418","Species 178"
"Species 432","Species 178"
"Species 434","Species 178"
"Species 435","Species 178"
"Species 437","Species 178"
"Species 438","Species 178"
"Species 439","Species 178"
"Species 441","Species 178"
"Species 442","Species 178"
"Species 443","Species 178"
"Species 444","Species 178"
"Species 460","Species 178"
"Species 462","Species 178"
"Species 465","Species 178"
"Species 466","Species 178"
"Species 467","Species 178"
"Species 470","Species 178"
"Species 488","Species 178"
"Species 491","Species 178"
"Species 500","Species 178"
"Species 74","Species 185"
"Species 88","Species 185"
"Species 89","Species 185"
"Species 91","Species 185"
"Species 92","Species 185"
"Species 94","Species 185"
"Species 95","Species 185"
"Species 96","Species 185"
"Species 97","Species 185"
"Species 157","Species 185"
"Species 158","Species 185"
"Species 159","Species 185"
"Species 160","Species 185"
"Species 161","Species 185"
"Species 164","Species 185"
"Species 165","Species 185"
"Species 166","Species 185"
"Species 167","Species 185"
"Species 168","Species 185"
"Species 171","Species 185"
"Species 173","Species 185"
"Species 178","Species 185"
"Species 257","Species 185"
"Species 260","Species 185"
"Species 266","Species 185"
"Species 274","Species 185"
"Species 275","Species 185"
"Species 277","Species 185"
"Species 290","Species 185"
"Species 293","Species 185"
"Species 402","Species 185"
"Species 403","Species 185"
"Species 404","Species 185"
"Species 406","Species 185"
"Species 407","Species 185"
"Species 408","Species 185"
"Species 409","Species 185"
"Species 418","Species 185"
"Species 432","Species 185"
"Species 433","Species 185"
"Species 434","Species 185"
"Species 435","Species 185"
